13,include,<stdlib.h>,
14,include,<stdio.h>,
15,include,<string.h>,
16,include,<ctype.h>,
17,include,<limits.h>,
18,include,<errno.h>,
19,include,<assert.h>,
21,define,"implies(x,y) assert(!(x) || (y))",
23,ifdef,__GNUC__,
31,,#  define FIX_GCC volatile,
32,else,,
33,,#  define FIX_GCC,
34,endif,,
36,define,"PROGRAM_NAME ""pngfix""",
41,ifdef,PNG_FREESTANDING_TESTS,
42,,#  include <png.h>,
43,else,,
44,,"#  include ""../../png.h""",
45,endif,,
47,if,PNG_LIBPNG_VER < 10603 ,/* 1.6.3 */
48,,"#  error ""pngfix will not work with libpng prior to 1.6.3""",
49,endif,,
51,ifdef,PNG_SETJMP_SUPPORTED,
52,include,<setjmp.h>,
54,if,defined(PNG_READ_SUPPORTED) && defined(PNG_EASY_ACCESS_SUPPORTED) && (defined(PNG_READ_DEINTERLACE_SUPPORTED) || defined(PNG_READ_INTERLACING_SUPPORTED)),
62,ifndef,ZLIB_CONST,
64,,#  define ZLIB_CONST,
65,endif,,
66,include,<zlib.h>,
67,ifdef,const,
69,,#  undef const,
70,endif,,
75,if,ZLIB_VERNUM < 0x1260,
76,,"#  define PNGZ_MSG_CAST(s) constcast(char*,s)",
77,,"#  define PNGZ_INPUT_CAST(b) constcast(png_bytep,b)",
78,else,,
79,,#  define PNGZ_MSG_CAST(s) (s),
80,,#  define PNGZ_INPUT_CAST(b) (b),
81,endif,,
83,ifndef,PNG_MAXIMUM_INFLATE_WINDOW,
84,,"#  error ""pngfix not supported in this libpng version""",
85,endif,,
87,if,ZLIB_VERNUM >= 0x1240,
90,ifdef,__cplusplus,
91,,"#  define voidcast(type, value) static_cast<type>(value)",
92,,"#  define constcast(type, value) const_cast<type>(value)",
93,,"#  define aligncast(type, value) static_cast<type>(static_cast<void*>(value))",
95,,"#  define aligncastconst(type, value) static_cast<type>(static_cast<const void*>(value))",
97,else,,
98,,"#  define voidcast(type, value) (value)",
99,,"#  define constcast(type, value) ((type)(value))",
100,,"#  define aligncast(type, value) ((void*)(value))",
101,,"#  define aligncastconst(type, value) ((const void*)(value))",
102,endif,,/* __cplusplus */
104,if,PNG_LIBPNG_VER < 10700,
106,define,"PNG_32b(b,s) ((png_uint_32)(b) << (s))",
